"";"No.";"Komoditas (Rp)";"tanggal";"harga";"province";"regency"
"359";"X";"Gula Pasir";"27/10/2021";14,05;"1";NA
"360";"X";"Gula Pasir";"28/10/2021";14,05;"1";NA
"361";"1";"Gula Pasir Kualitas Premium (kg)";"21/10/2021";15,2;"1";NA
"362";"1";"Gula Pasir Kualitas Premium (kg)";"22/10/2021";15,25;"1";NA
"363";"1";"Gula Pasir Kualitas Premium (kg)";"25/10/2021";15,25;"1";NA
"364";"1";"Gula Pasir Kualitas Premium (kg)";"26/10/2021";15,25;"1";NA
"365";"1";"Gula Pasir Kualitas Premium (kg)";"27/10/2021";15,25;"1";NA
"366";"1";"Gula Pasir Kualitas Premium (kg)";"28/10/2021";15,25;"1";NA
"367";"2";"Gula Pasir Lokal (kg)";"21/10/2021";13,15;"1";NA
"368";"2";"Gula Pasir Lokal (kg)";"22/10/2021";13,55;"1";NA
"369";"2";"Gula Pasir Lokal (kg)";"25/10/2021";13,15;"1";NA
"370";"2";"Gula Pasir Lokal (kg)";"26/10/2021";13,15;"1";NA
"371";"2";"Gula Pasir Lokal (kg)";"27/10/2021";13,15;"1";NA
"372";"2";"Gula Pasir Lokal (kg)";"28/10/2021";13,15;"1";NA
